title,price,available_quantity,sold_quantity,listing_type_id,thumbnail_id,tags,use_thumbnail_id,order_backend,seller__id,seller__tags,seller__seller_reputation__transactions__total,seller__seller_reputation__transactions__canceled,seller__seller_reputation__transactions__ratings__negative,seller__seller_reputation__transactions__ratings__positive,seller__seller_reputation__transactions__ratings__neutral,seller__seller_reputation__transactions__completed,seller__seller_reputation__metrics__claims__rate,seller__seller_reputation__metrics__claims__value,seller__seller_reputation__metrics__claims__period,seller__seller_reputation__metrics__delayed_handling_time__rate,seller__seller_reputation__metrics__delayed_handling_time__value,seller__seller_reputation__metrics__delayed_handling_time__period,seller__seller_reputation__metrics__sales__period,seller__seller_reputation__metrics__sales__completed,seller__seller_reputation__metrics__cancellations__rate,seller__seller_reputation__metrics__cancellations__value,seller__seller_reputation__metrics__cancellations__period,seller__seller_reputation__level_id,prices__prices,prices__reference_prices,installments__quantity,installments__amount,installments__rate,shipping__free_shipping,shipping__mode,shipping__tags,shipping__logistic_type,days_remaining,years_active
iPhone 11 64 Gb Negro - Sin Cargador - ,171549.0,1,4,gold_special,916062-MLA43654417337_102020,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,7,208137579,"['normal', 'user_info_verified', 'medium_seller', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",37945,1865,0.02,0.97,0.01,36080,0.006,54,60 days,0.002,18,60 days,60 days,8509,0.0035,32,60 days,5_green,"[{'id': '33', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 171549, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-29T18:38:37Z'}]",[],12,24327.08,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,7223,5
Apple iPhone 11 (128 Gb) - Rojo,197388.0,1,0,gold_special,724631-MLA46114990506_052021,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",False,8,45582473,"['normal', 'user_info_verified', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",96,18,0.0,1.0,0.0,78,0.0,2,60 days,0.1923,5,60 days,60 days,68,0.047,4,60 days,2_orange,"[{'id': '11', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 197388, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-25T14:55:09Z'}]",[],12,27991.26,70.17,True,me2,['mandatory_free_shipping'],xd_drop_off,7247,7
Apple iPhone 11 64gb Black 4gb Ram Garantia Oficial Local,179999.0,1,3,gold_special,823171-MLA43441748121_092020,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,9,15096445,"['normal', 'user_info_verified', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller', 'messages_as_buyer']",49388,3052,0.02,0.98,0.0,46336,0.0159,57,60 days,0.0325,111,60 days,60 days,3310,0.0139,50,60 days,5_green,"[{'id': '19', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 179999, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-05-19T23:06:14Z'}, {'id': '24', 'type': 'promotion', 'conditions': {'context_restrictions': [], 'start_time': '2021-07-05T02:30:00Z', 'end_time': '2021-08-02T03:00:00Z', 'eligible': True}, 'amount': 179999, 'regular_amount': 216000, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {'campaign_id': 'MLA6424', 'promotion_id': 'MLA6424', 'promotion_type': 'campaign'}, 'last_updated': '2021-07-05T02:53:39Z'}]",[],12,25525.36,70.17,True,me2,"['self_service_out', 'mandatory_free_shipping']",cross_docking,6987,14
Apple iPhone 11 128 Gb Red,196764.75,50,0,gold_special,748385-MLA43653904252_102020,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,10,313857396,"['normal', 'user_info_verified', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",4047,365,0.02,0.97,0.01,3682,0.0116,7,60 days,0.002,1,60 days,60 days,529,0.0,2,60 days,5_green,"[{'id': '33', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 196764.75, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-27T15:32:56Z'}]",[],12,27902.88,70.17,True,me2,['mandatory_free_shipping'],xd_drop_off,7211,3
Apple iPhone 11 128 Gb Negro Sellado Envio Gratis ,223433.08,1,0,gold_pro,865864-MLA46114990464_052021,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'shipping_guaranteed']",False,11,313857396,"['normal', 'user_info_verified', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",4047,365,0.02,0.97,0.01,3682,0.0116,7,60 days,0.002,1,60 days,60 days,529,0.0,2,60 days,5_green,"[{'id': '2', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 223433.08, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-29T04:20:34Z'}]",[],9,24825.9,0.0,True,me2,['mandatory_free_shipping'],xd_drop_off,7296,3
iPhone 11 64 Gb Verde,182800.8,50,0,gold_special,600359-MLA43654417355_102020,"['loyalty_discount_eligible', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,12,313857396,"['normal', 'user_info_verified', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",4047,365,0.02,0.97,0.01,3682,0.0116,7,60 days,0.002,1,60 days,60 days,529,0.0,2,60 days,5_green,"[{'id': '28', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 182800.8, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-27T15:35:22Z'}]",[],12,25922.68,70.17,True,me2,['mandatory_free_shipping'],xd_drop_off,7229,3
Apple iPhone 11  128gb  Display 6.1  New Unlocked Negro,189999.98,50,5,gold_special,785544-MLA32445402658_102019,"['good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",False,13,280992944,"['normal', 'user_info_verified', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",219,17,0.01,0.98,0.01,202,0.0,1,365 days,0.0268,4,365 days,365 days,202,0.0182,4,365 days,5_green,"[{'id': '14', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 189999.98, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-01T18:04:02Z'}]",[],12,26943.58,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,7003,3
Apple iPhone 11 64 Gb Verde Nuevo Sellado Envío Gratis,207576.55,50,0,gold_pro,719992-MLA46115014351_052021,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'shipping_guaranteed']",False,14,313857396,"['normal', 'user_info_verified', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",4047,365,0.02,0.97,0.01,3682,0.0116,7,60 days,0.002,1,60 days,60 days,529,0.0,2,60 days,5_green,"[{'id': '2', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 207576.55, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-29T04:20:46Z'}]",[],9,23064.06,0.0,True,me2,['mandatory_free_shipping'],xd_drop_off,7296,3
iPhone 11 64 Gb (product) Red,182800.8,50,0,gold_special,751765-MLA43654417389_102020,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,15,313857396,"['normal', 'user_info_verified', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",4047,365,0.02,0.97,0.01,3682,0.0116,7,60 days,0.002,1,60 days,60 days,529,0.0,2,60 days,5_green,"[{'id': '32', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 182800.8, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-27T15:35:21Z'}]",[],12,25922.68,70.17,True,me2,['mandatory_free_shipping'],xd_drop_off,7212,3
iPhone 11 128 Gb Negro,181500.0,1,0,gold_special,738648-MLA43654417399_102020,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,16,326644038,"['normal', 'user_info_verified', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",1569,99,0.02,0.97,0.01,1470,0.0148,3,60 days,0.0095,1,60 days,60 days,187,0.0,0,60 days,5_green,"[{'id': '13', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 181500, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-22T18:37:37Z'}]",[],12,25738.21,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,7146,3
iPhone 11 128gb White Original Sellado Gtia,188990.0,1,0,gold_special,739246-MLA43654396781_102020,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,17,3777445,"['normal', 'user_info_verified', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",3476,174,0.0,0.99,0.01,3302,0.0045,4,60 days,0.0,0,60 days,60 days,839,0.0,0,60 days,5_green,"[{'id': '5', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 188990, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-27T14:49:18Z'}]",[],12,26800.36,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,7127,20
Apple iPhone 11 64 Gb Negro ,182800.8,50,0,gold_special,885508-MLA32445302787_102019,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,18,313857396,"['normal', 'user_info_verified', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",4047,365,0.02,0.97,0.01,3682,0.0116,7,60 days,0.002,1,60 days,60 days,529,0.0,2,60 days,5_green,"[{'id': '30', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 182800.8, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-27T15:35:22Z'}]",[],12,25922.68,70.17,True,me2,['mandatory_free_shipping'],xd_drop_off,6759,3
iPhone 12 Pro 128gb Vs. Colores Caja Sellada Garantía Apple,378400.0,1,0,gold_special,630837-MLA44598237600_012021,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,19,89910928,"['normal', 'user_info_verified', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",3722,386,0.0,0.99,0.01,3336,0.0045,4,60 days,0.0035,3,60 days,60 days,809,0.0,0,60 days,5_green,"[{'id': '8', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 378400, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-23T14:07:56Z'}]",[],12,53660.27,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,6949,15
Vendo/permuto iPhone 11 64gb/128gb White-black Nuevo Sellado,144000.0,1,0,gold_special,982763-MLA44455667950_122020,"['poor_quality_thumbnail', 'extended_warranty_eligible', 'poor_quality_picture', 'immediate_payment', 'cart_eligible']",False,20,694989932,"['normal', 'user_info_verified', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",3,3,0.0,0.0,1.0,0,0.0,0,365 days,0.0,0,365 days,365 days,0,1.0,3,365 days,,"[{'id': '20', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 144000, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-28T23:02:27Z'}]",[],12,20420.4,70.17,True,me2,['mandatory_free_shipping'],drop_off,7218,0
Apple iPhone 11 (64 Gb) - Rojo,184889.0,1,0,gold_special,960745-MLA46114990453_052021,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",False,21,45582473,"['normal', 'user_info_verified', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",96,18,0.0,1.0,0.0,78,0.0,2,60 days,0.1923,5,60 days,60 days,68,0.047,4,60 days,2_orange,"[{'id': '13', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 184889, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-29T14:25:04Z'}]",[],12,26218.8,70.17,True,me2,['mandatory_free_shipping'],xd_drop_off,7247,7
"iPhone 11 128gb, Nuevos En Caja Sellada ",209900.0,1,1,gold_pro,739246-MLA43654396781_102020,"['good_quality_picture', 'good_quality_thumbnail', 'extended_warranty_eligible', 'immediate_payment']",False,22,21567880,"['normal', 'user_info_verified', 'credits_priority_3', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",8,2,0.0,0.0,1.0,6,0.0,0,365 days,0.0,0,365 days,365 days,6,0.0,1,365 days,,"[{'id': '5', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 209900, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-06-29T00:55:01Z'}]",[],9,23322.22,0.0,True,me2,['mandatory_free_shipping'],xd_drop_off,7157,11
iPhone 11 128 Gb Negro,228690.0,1,0,gold_pro,738648-MLA43654417399_102020,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'shipping_guaranteed']",False,23,407075586,"['normal', 'user_info_verified', 'mshops', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",1078,86,0.03,0.96,0.01,992,0.0,0,60 days,0.0098,1,60 days,60 days,125,0.0,0,60 days,5_green,"[{'id': '7', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 228690, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-22T18:40:57Z'}]",[],9,25410.0,0.0,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,7146,2
iPhone 11 128 Gb Negro,181500.0,1,0,gold_special,717466-MLA43654417402_102020,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,24,407075586,"['normal', 'user_info_verified', 'mshops', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",1078,86,0.03,0.96,0.01,992,0.0,0,60 days,0.0098,1,60 days,60 days,125,0.0,0,60 days,5_green,"[{'id': '11', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 181500, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-22T18:39:18Z'}]",[],12,25738.21,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,7146,2
iPhone 11 128 Gb Blanco Original,184999.0,1,0,gold_special,739246-MLA43654396781_102020,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,25,86356879,"['normal', 'user_info_verified', 'eshop', 'mshops', 'messages_as_seller', 'messages_as_buyer']",87404,4696,0.03,0.95,0.02,82708,0.0169,298,60 days,0.0089,147,60 days,60 days,16631,0.002,36,60 days,5_green,"[{'id': '15', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 184999, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-29T15:07:17Z'}]",[],12,26234.4,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,7229,15
iPhone 11 64 Gb Morado,182800.8,50,0,gold_special,932026-MLA43654396757_102020,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,26,313857396,"['normal', 'user_info_verified', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",4047,365,0.02,0.97,0.01,3682,0.0116,7,60 days,0.002,1,60 days,60 days,529,0.0,2,60 days,5_green,"[{'id': '23', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 182800.8, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-27T15:35:23Z'}]",[],12,25922.68,70.17,True,me2,['mandatory_free_shipping'],xd_drop_off,7211,3
iPhone 11 128gb Morado Original Caja Sellada Gtia Apple,194990.0,50,3,gold_special,895917-MLA43507413276_092020,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,27,17846983,"['normal', 'user_info_verified', 'mshops', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",1226,118,0.0,0.99,0.01,1108,0.0159,3,60 days,0.0828,14,60 days,60 days,171,0.0159,3,60 days,5_green,"[{'id': '18', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 194990, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-19T19:51:42Z'}]",[],12,27651.21,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,6984,18
iPhone 11 64 Gb Blanco - Sin Cargador -,171549.0,1,0,gold_special,641268-MLA43654417348_102020,"['loyalty_discount_eligible', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,28,208137579,"['normal', 'user_info_verified', 'medium_seller', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",37945,1865,0.02,0.97,0.01,36080,0.006,54,60 days,0.002,18,60 days,60 days,8509,0.0035,32,60 days,5_green,"[{'id': '19', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 171549, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-29T18:38:35Z'}]",[],12,24327.08,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,7074,5
iPhone 11 128gb Rojo Original Caja Sellada Gtia Apple,194990.0,50,0,gold_special,977566-MLA43507253248_092020,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,29,17846983,"['normal', 'user_info_verified', 'mshops', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",1226,118,0.0,0.99,0.01,1108,0.0159,3,60 days,0.0828,14,60 days,60 days,171,0.0159,3,60 days,5_green,"[{'id': '16', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 194990, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-19T19:51:43Z'}]",[],12,27651.21,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,6984,18
iPhone 11 64gb Rojo Original Caja Sellada Gtia Apple,179990.0,50,2,gold_special,645536-MLA43529565319_092020,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,30,17846983,"['normal', 'user_info_verified', 'mshops', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",1226,118,0.0,0.99,0.01,1108,0.0159,3,60 days,0.0828,14,60 days,60 days,171,0.0159,3,60 days,5_green,"[{'id': '26', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 179990, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-19T19:53:48Z'}]",[],12,25524.08,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,6987,18
Apple iPhone 11 (128 Gb) - Negro En Caja Sellada,160000.0,1,0,gold_special,865864-MLA46114990464_052021,"['good_quality_thumbnail', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",False,31,192261869,"['normal', 'user_info_verified', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",2,0,0.0,0.0,1.0,2,0.0,0,365 days,0.0,0,365 days,365 days,2,0.0,0,365 days,,"[{'id': '2', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 160000, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-06-24T18:01:37Z'}]",[],12,22689.33,70.17,True,me2,['mandatory_free_shipping'],xd_drop_off,7257,5
iPhone 11 128gb Verde Original Caja Sellada Gtia Apple,194990.0,50,3,gold_special,773668-MLA43507158448_092020,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,32,17846983,"['normal', 'user_info_verified', 'mshops', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",1226,118,0.0,0.99,0.01,1108,0.0159,3,60 days,0.0828,14,60 days,60 days,171,0.0159,3,60 days,5_green,"[{'id': '16', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 194990, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-19T19:51:42Z'}]",[],12,27651.21,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,6984,18
iPhone 11 64gb Morado Original Caja Sellada Gtia Apple,179990.0,50,5,gold_special,695794-MLA43529420837_092020,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,33,17846983,"['normal', 'user_info_verified', 'mshops', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",1226,118,0.0,0.99,0.01,1108,0.0159,3,60 days,0.0828,14,60 days,60 days,171,0.0159,3,60 days,5_green,"[{'id': '28', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 179990, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-19T19:53:46Z'}]",[],12,25524.08,70.17,True,me2,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,6987,18
iPhone 11 128 Gb Negro,228690.0,1,0,gold_pro,738648-MLA43654417399_102020,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'shipping_guaranteed']",False,34,326644038,"['normal', 'user_info_verified', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",1569,99,0.02,0.97,0.01,1470,0.0148,3,60 days,0.0095,1,60 days,60 days,187,0.0,0,60 days,5_green,"[{'id': '6', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 228690, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-22T18:42:00Z'}]",[],9,25410.0,0.0,True,me2,"['self_service_in', 'mandatory_free_shipping']",cross_docking,7146,3
iPhone 11 64 Gb Blanco,182800.8,1,0,gold_special,641268-MLA43654417348_102020,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,35,313857396,"['normal', 'user_info_verified', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller', 'messages_as_buyer']",4047,365,0.02,0.97,0.01,3682,0.0116,7,60 days,0.002,1,60 days,60 days,529,0.0,2,60 days,5_green,"[{'id': '27', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 182800.8, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-27T15:35:22Z'}]",[],12,25922.68,70.17,True,me2,['mandatory_free_shipping'],xd_drop_off,7212,3
iPhone 11 128 Gb Negro Caja Sellada,220900.0,1,0,gold_pro,738648-MLA43654417399_102020,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment']",False,36,210524562,"['normal', 'user_info_verified', 'credits_profile', 'messages_as_seller', 'messages_as_buyer']",30,1,0.0,1.0,0.0,29,0.0,0,365 days,0.0434,1,365 days,365 days,29,0.0,0,365 days,5_green,"[{'id': '50', 'type': 'standard', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 220900, 'regular_amount': None, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'metadata': {}, 'last_updated': '2021-07-29T14:51:06Z'}]",[],9,24544.44,0.0,True,me2,['mandatory_free_shipping'],xd_drop_off,7176,5
