date,bitcoin_price_USD
2021-07-30 11:34:57,38994.6283
2021-07-30 11:35:57,38994.1783
2021-07-30 11:36:58,38987.9833
2021-07-30 11:37:58,38961.5183
2021-07-30 11:38:58,38953.28
2021-07-30 11:39:58,38968.9783
2021-07-30 11:40:58,38968.7583
2021-07-30 11:41:59,38984.3183
2021-07-30 11:42:59,38971.7817
2021-07-30 11:43:59,39002.6183
2021-07-30 11:44:59,39019.9267
2021-07-30 11:45:59,39030.2833
2021-07-30 11:47:00,39059.1083
2021-07-30 11:48:00,39070.1917
2021-07-30 11:49:00,39035.235
2021-07-30 11:50:00,39065.6317
2021-07-30 11:51:00,38992.1383
2021-07-30 11:52:00,39017.4283
2021-07-30 11:53:01,39047.9083
2021-07-30 11:54:01,39049.6733
2021-07-30 11:55:01,39027.75
2021-07-30 11:56:01,38991.0417
2021-07-30 11:57:02,38993.7667
2021-07-30 11:58:02,39003.6433
2021-07-30 11:59:02,39009.2417
2021-07-30 12:00:02,39033.0817
2021-07-30 12:01:02,39035.3033
2021-07-30 12:02:03,39006.405
2021-07-30 12:03:03,38983.4567
2021-07-30 12:04:03,38961.7583
2021-07-30 12:05:03,38963.625
2021-07-30 12:06:03,38943.685
2021-07-30 12:07:04,38915.5467
2021-07-30 12:08:04,38909.8083
2021-07-30 12:09:04,38945.5933
2021-07-30 12:10:04,38966.9483
2021-07-30 12:11:06,38965.4467
2021-07-30 12:12:07,38953.4533
2021-07-30 12:13:07,38926.9867
2021-07-30 12:14:07,38926.485
2021-07-30 12:15:07,38976.2467
2021-07-30 12:16:07,38999.49
2021-07-30 12:17:07,38993.3017
2021-07-30 12:18:07,39032.37
2021-07-30 12:19:08,39034.2917
2021-07-30 12:20:09,39022.1067
2021-07-30 12:21:09,39004.57
2021-07-30 12:22:09,38971.72
2021-07-30 12:23:10,38994.3517
2021-07-30 12:24:10,39036.0983
2021-07-30 12:25:10,39054.355
2021-07-30 12:26:10,39048.435
2021-07-30 12:27:10,39055.2733
2021-07-30 12:28:11,39068.2967
2021-07-30 12:29:11,39038.4367
