date,bitcoin_price_USD
2021-07-24 14:30:48,34332.165
2021-07-24 14:31:48,34333.8517
2021-07-24 14:32:48,34349.2917
2021-07-24 14:33:48,34348.7917
2021-07-24 14:34:49,34385.865
2021-07-24 14:35:49,34388.785
2021-07-24 14:36:49,34360.2283
2021-07-24 14:37:49,34365.7967
2021-07-24 14:38:49,34349.0933
2021-07-24 14:39:50,34344.4317
2021-07-24 14:40:50,34344.5617
2021-07-24 14:41:50,34336.1133
2021-07-24 14:42:50,34321.52
2021-07-24 14:43:50,34267.0433
2021-07-24 14:44:51,34236.77
2021-07-24 14:45:51,34239.95
2021-07-24 14:46:51,34243.7167
2021-07-24 14:47:51,34273.025
2021-07-24 14:48:51,34267.0917
2021-07-24 14:49:51,34280.0767
2021-07-24 14:50:52,34299.5667
2021-07-24 14:51:52,34280.325
2021-07-24 14:52:52,34272.1783
2021-07-24 14:53:52,34290.8917
2021-07-24 14:54:52,34284.465
2021-07-24 14:55:52,34299.1667
2021-07-24 14:56:52,34333.2483
2021-07-24 14:57:53,34339.2017
2021-07-24 14:58:53,34347.0533
2021-07-24 14:59:53,34342.1783
2021-07-24 15:00:53,34339.1333
2021-07-24 15:01:53,34316.68
2021-07-24 15:02:54,34321.18
2021-07-24 15:03:54,34339.9367
2021-07-24 15:04:55,34383.625
2021-07-24 15:05:55,34374.965
2021-07-24 15:06:55,34363.0167
2021-07-24 15:07:55,34364.9917
2021-07-24 15:08:55,34385.665
2021-07-24 15:09:55,34411.2
2021-07-24 15:10:55,34413.2417
2021-07-24 15:11:56,34430.3083
2021-07-24 15:12:56,34427.1317
2021-07-24 15:13:56,34430.675
2021-07-24 15:14:56,34432.5333
2021-07-24 15:15:56,34424.0667
2021-07-24 15:16:56,34392.65
2021-07-24 15:17:57,34388.8917
2021-07-24 15:18:57,34394.115
2021-07-24 15:19:57,34421.7967
2021-07-24 15:20:57,34422.85
2021-07-24 15:21:57,34416.38
2021-07-24 15:22:57,34369.185
2021-07-24 15:23:58,34359.3417
2021-07-24 15:24:58,34355.715
2021-07-24 15:25:58,34357.1683
2021-07-24 15:26:58,34360.8983
2021-07-24 15:27:58,34361.4367
2021-07-24 15:28:58,34361.4367
2021-07-24 15:29:59,34341.95
2021-07-24 15:30:59,34345.85
2021-07-24 15:31:59,34323.475
2021-07-24 15:32:59,34355.59
2021-07-24 15:34:00,34357.1367
2021-07-24 15:35:00,34377.1383
2021-07-24 15:36:00,34383.1667
2021-07-24 15:37:00,34355.725
2021-07-24 15:38:00,34363.8883
2021-07-24 15:39:00,34338.5417
2021-07-24 15:40:01,34344.3017
2021-07-24 15:41:01,34345.4017
2021-07-24 15:42:01,34335.2167
2021-07-24 15:43:01,34335.1083
2021-07-24 15:44:01,34344.25
2021-07-24 15:45:02,34363.075
2021-07-24 15:46:02,34356.0517
2021-07-24 15:47:02,34341.7883
2021-07-24 15:48:03,34318.875
2021-07-24 15:49:03,34294.295
2021-07-24 15:50:03,34290.395
2021-07-24 15:51:03,34305.8667
2021-07-24 15:52:03,34291.2433
2021-07-24 15:53:03,34286.9417
2021-07-24 15:54:04,34294.9833
2021-07-24 15:55:04,34305.8567
2021-07-24 15:56:04,34322.7433
2021-07-24 15:57:05,34306.2333
2021-07-24 15:58:05,34305.3083
2021-07-24 15:59:05,34306.99
2021-07-24 16:00:05,34308.1917
2021-07-24 16:01:06,34311.785
2021-07-24 16:02:06,34277.08
2021-07-24 16:03:07,34268.1117
2021-07-24 16:04:07,34273.1033
2021-07-24 16:05:07,34262.32
2021-07-24 16:06:12,34251.915
2021-07-24 16:07:13,34258.8417
2021-07-24 16:08:13,34271.165
2021-07-24 16:09:13,34277.9883
2021-07-24 16:10:13,34261.875
2021-07-24 16:11:13,34261.6767
2021-07-24 16:12:14,34268.9983
2021-07-24 16:13:14,34263.845
2021-07-24 16:14:14,34270.62
2021-07-24 16:15:14,34266.88
2021-07-24 16:16:15,34279.9083
2021-07-24 16:17:15,34252.7467
2021-07-24 16:18:15,34253.1017
2021-07-24 16:19:15,34265.3067
2021-07-24 16:20:16,34254.2817
2021-07-24 16:21:16,34254.6817
2021-07-24 16:22:17,34235.9767
2021-07-24 16:23:17,34179.6717
2021-07-24 16:24:17,34137.6967
2021-07-24 16:25:17,34118.8117
2021-07-24 16:26:17,34089.375
2021-07-24 16:27:18,34104.5983
2021-07-24 16:28:18,34118.27
2021-07-24 16:29:18,34132.1083
2021-07-24 16:30:18,34134.8833
