idpozo,sigla,formprod,coordenadax,coordenaday
337,YPF.St.SRo.x-1,FIMP,-63.836861631071,-24.3042652150448
338,YPF.St.Gu.x-1,FIMP,-64.1304595229351,-23.9939916756706
339,YPF.St.LU.x-1,FIMP,-63.1967880560453,-23.9645723237695
340,YPF.St.Que.x-1,FIMP,-63.8634451891798,-22.5780690931088
342,M-35,GLAU,-67.385678,-45.59265
343,M-36,GLAU,-67.385372,-45.586201
344,M-37,FIMP,-67.377305,-45.589242
345,M-38,GLAU,-67.369173,-45.592541
346,M-39,GLAU,-67.36906,-45.599264
347,M-40,FIMP,-67.360491,-45.596073
348,M-41,GLAU,-67.39669,-45.598043
349,M-42,FIMP,-67.385085,-45.602405
351,M-46,FIMP,-67.353469,-45.614988
352,M-51,FIMP,-67.396838,-45.606935
353,M-53,FIMP,-67.385333,-45.620966
354,M-56,FIMP,-67.420528,-45.601188
355,M-58,GLAU,-67.394564,-45.580341
356,M-59,FIMP,-67.382781,-45.577814
357,M-60,GLAU,-67.399598,-45.572439
358,M-61,FIMP,-67.387084,-45.569821
359,M-62,FIMP,-67.388451,-45.581838
360,M-63,FIMP,-67.426514,-45.580361
361,K-1005,FIMP,-67.425839,-45.604458
362,M-2,FIMP,-67.439488,-45.603743
363,M-19,FIMP,-67.550993,-45.617915
364,M-32,FIMP,-67.466426,-45.6182
365,M-57,FIMP,-67.443359,-45.592368
366,M-64,GLAU,-67.564418,-45.612121
367,CP-2001,FIMP,-67.55581,-45.602862
368,CP-2002,FIMP,-67.479673,-45.598509
369,CP-2003,GLAU,-67.550066,-45.603896
387,YPF.Ch.MMO-29,CAST,-69.96787,-45.9654
388,YPF.Ch.MMO-30,CAST,-69.96374,-45.96496
389,YPF.Ch.MMO-31,CAST,-69.96945,-45.96709
391,YPF.Ch.MMO-33,CAST,-69.96017,-45.96967
392,YPF.Ch.MMO-34,CAST,-69.95732,-45.96757
393,YPF.Ch.MMO-35,CAST,-69.95369,-45.9683
394,YPF.Ch.MMO-a36,CAST,-69.97554,-45.96555
395,YPF.Ch.MMO-a37,CAST,-69.97012,-45.9746
396,YPF.Ch.MMO-38,CAST,-69.9643,-45.97142
397,YPF.Ch.MMO-39,CAST,-69.95009,-45.97041
398,YPF.Ch.MMO-a41,CAST,-69.95257,-45.97558
399,YPF.Ch.MMO-42,CAST,-69.96721,-45.97643
400,YPF.Ch.MMO-43,CAST,-69.9692,-45.96281
401,YPF.Ch.MMO-44,CAST,-69.971,-45.9772
402,YPF.Ch.MMO-45,CAST,-69.96657,-45.97365
403,YPF.Ch.MMO-46,CAST,-69.96373,-45.97543
405,YPF.Ch.MMO-a47,CAST,-69.9813,-45.96868
406,YPF.Ch.MMO-a48,CAST,-69.97631,-45.98142
407,YPF.Ch.MMO-49,CAST,-69.95315,-45.97204
408,YPF.Ch.MMO-50,CAST,-69.96925,-45.97134
414,YPF.Ch.MMO-51,CAST,-69.97345,-45.96831
415,YPF.Ch.MMO-52,CAST,-69.98128,-45.96547
416,YPF.Ch.MMO-53,CAST,-69.96267,-45.97335
417,YPF.Ch.MMO-54,CAST,-69.95987,-45.97568
418,YPF.Ch.MMO-55,CAST,-69.96426,-45.97805
419,YPF.Ch.MMO-a56,CAST,-69.98814,-45.97033
454,CLE.Ch.CN-1000,BBAR,-68.893446,-45.7601449
455,A.Md.N.C. x-1001,HUIT,-69.76553,-36.53088
456,A.Md.N.C. x-1002,HUIT,-69.76872,-36.53059
457,A.Md.N.C. x-1003,HUIT,-69.76833,-36.53638
